proj_cty,company,li_unitr,trgt_hml
SMITHTOWN,GHC HOUSING PARTNERS LLC,298,2
JAMESTOWN,"MILLENNIA HOUSING DEVELOPMENT, LTD.",87,2
COLUMBUS,VERONA CAMPBELL,,
DAYTONA BEACH,"PICERNE AFFORDABLE DEVELOPMENT, LLC",,
JACKSONVILLE,CATHEDRAL TERRACE INC.,,
ALTAMONTE SPRINGS,"PICERNE AFFORDABLE DEVELOPMENT, LLC",,
APOPKA,WENDOVER HOUSING PARTNERS LLC,,
WINTER PARK,SOUTHERN AFFORDABLE SERVICES INC.,,
FT. LAUDERDALE,TURNSTONE DEVELOPMENT CORPORATION,,
FT. LAUDERDALE,ATLANTIC PACIFIC COMMUNITIES LLC,,
TAMPA,"DDA DEVELOPMENT COMPANY, INC",,
COCOA,ROYAL AMERICAN DEVELOPMENT INC.,,
PUNTA GORDA,"NORSTAR DEVELOPMENT USA, L.P.",,
HOLIDAY,HOUSING TRUST GROUP LLC,,
KISSIMMEE,ROYAL AMERICAN DEVELOPMENT INC.,,
GARY,MERCHANTS AFFORDABLE HOUSING CORPORATION,170,2
GARY,MERCHANTS AFFORDABLE HOUSING CORPORATION,64,2
GARY,MERCHANTS AFFORDABLE HOUSING CORPORATION,156,2
COLUMBIA CITY,COMMONWEALTH DEVELOPMENT CORPORATION OF AMERICA,52,2
KOKOMO,PARTNERS IN HOUSING,69,2
BLOOMINGTON,"LIFEDESIGNS, INC. AKA OPTIONS FOR BETTER LIVING, INC.",36,2
MIDDLETON,MEADOW RIDGE MIDDLETON LLC,38,
STOUGHTON,DANE COUNTY HOUSING REDEVELOPMENT LLC,6,
MADISON,MAPLE GROVE HOUSING LLC,41,
KAUKAUNA,MISSION VILLAGE OF KAUKAUNA LLC,15,
LA CROSSE,2219 LOFTS LIMITED PARTNERSHIP,8,
OSHKOSH,CUMBERLAND COURT MASTER DEVELOPMENT LLC,2,
APPLETON,RANDALL COURT REDEVELOPMENT LLC,4,
GRAND CHUTE,GRAND VIEW TOWNHOMES LLC,18,
NEENAH,THE HIGHLANDS AT MAHLER PARK II LLC,9,
CHEYENNE,CROW CREEK APARTMENTS LLC,59,2
CHEYENNE,GRAND HARMONY LIMITED PARTNERSHIP LLLP,33,2
PEARL CITY,"HALE MOHALU II FAMILY IV, LP",84,
HONOLULU,RIVER PAUAHI PARTNERS LP,48,
LA FAYETTE,WILLIAM REA JR.,,
HEPHZIBAH,JASON MADDOX,,
THOMSON,MARK GARDNER,,
AUGUSTA,JACOB OGLESBY,,
AUGUSTA,DONALD PAXTON,,
AUGUSTA,JEFFERY KITTLE,,
AUGUSTA,CHRIS DISCHINGER,,
AUGUSTA,BRIAN MCGEADY,,
PERRY,WILLIAM REA JR.,,
WARNER ROBINS,JOHN COLLINS,,
RINCON,JOSEPH WILCZEWSKI,,
RINCON,JOSEPY WILCZEWSKI,,
PINE MOUNTAIN,JOSEPH WILCZEWSKI,,
CHICOPEE,CHAPIN SCHOOL VETERANS HOUSING LLC,43,
SPRINGFIELD,MEMORIAL SQUARE APARTYMENT LIMITED PARTNERSHIP,56,
HAVERHILL,HARBOR PLACE AT MERIMACK LLC,50,
HAVERHILL,TENNEY PLACE APARTMENTS I LLC,72,
LAWRENCE,UNION CANAL COMMUNITY WORKS LLC,73,
WESTFORD,SB2 HOUSING LIMITED PARTNERSHIP,98,
MIDDLEBOROUGH,SHOE SHOP LIMITED PARTNERSHIP,25,
NEW BEDFORD,NEW VERDEAN LLC,110,
MANCHESTER,SOUTH MAIN MANCHESTER HOUSING LP,20,1
PLAISTOW,CHANDLER PLACE APARTMENTS LP,25,
ROCHESTER,"ARTHUR H. NICKLESS, JR. LP",24,
WESTBROOK,MILLBROOK ESTATES II LP,38,
PORTLAND,BAYSIDE ANCHOR APARTMENTS LP,45,
PORTLAND,LORING HOUSE ASSOCIATES LP,100,
PORTLAND,AVESTA BISHOP STREET LP,30,
BURLINGTON,95 NORTH AVE LP,14,1
MILTON,ELM PLACE LP,28,
BRISTOL,ZBIKOWSKI PARK NEIGHBORHOOD LIMITED PARTNERSHIP,90,
MANCHESTER,"RAHF SQUIRE PRESERVATION, LLC",379,
VERNON,"HISTORIC TALCOTT MILL, LLC",83,
HARTFORD,MUTUAL HOUSING ASSOC OF GREATER HTFD INC.,42,
NORWICH,"PONEMAH RIVERBANK UNIT A SOUTH, LLC",70,
BRIDGEPORT,"CRESCENT CROSSINGS, LLC C/O JHM FINANCIAL GROUP",93,
NEW MILFORD,"DAKOTA PARTNERS, INC.",30,
STAMFORD,CHARTER OAK COMMUNITIES,48,
VALLEY STREAM,"BROOKE POINT, LLC",29,
LAKE RONKONKOMA,CONCERN RONKONKOMA LLC,58,
SYRACUSE,HARBOR STREET LOFTS LLC,35,
SYRACUSE,SALINA CROSSING LLC,49,
BUFFALO,WATERFRONT PHASE I LLC,48,
BUFFALO,"PARKVIEW APARTMENTS OF BUFFALO, LLC",26,
TONAWANDA,HIGHLAND AVENUE L.P.,34,1
NIAGARA FALLS,"WALNUT AVENUE HOMES, LLC",41,1
CHARLOTTESVILLE,"CARLTON VIEWS I, LLC",54,
ASHLAND,LRC - ASHLAND WOODS LP,148,
RICHMOND,"HATCHER TOBACCO GENESIS, LLC",150,
CHESAPEAKE,"CATALINA CROSSING, L.P.",124,
VIRGINIA BEACH,"SUL TRANQUILITY LAKES, LLC",40,
VIRGINIA BEACH,"BAKER II APARTMENTS, L.P.",57,
NEWPORT NEWS,"NEWPORT NEWS SENIORS, LP",44,
NEWPORT NEWS,BRENNAN POINTE LIMITED PARTNERSHIP,44,
HAMPTON,"HAMPTON-PATTERSON CROSSING, LLC",19,
